240,1,0,0,1545.0,6554.958223588476,0.0,26.59983773228234,-0.0,-0.0028161645178920226,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
480,1,0,0,1545.0,12852.866018084549,0.0,26.00312765920835,-0.0,-0.0022671884016214516,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
720,1,0,0,1545.0,19024.33840405041,0.0,25.522738765658666,-0.0,-0.0018252283258985067,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
960,1,0,0,1545.0,25094.022385982073,0.0,25.135995689817747,-0.0,-0.0014694228495874748,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
1200,1,0,0,1545.0,31081.760342537837,0.0,24.82464334858086,-0.0,-0.0011829772090715597,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
1200,2,1,1,4545.0,4922.928311623559,0.0,23.24660856930573,-0.0,-0.009732905220921767,19.6674448774316,23.054256384127903,CruiseStrategy,SUV
1440,1,0,0,1545.0,37003.52662836525,0.0,24.573985259401347,-0.0,-0.0009523705702382493,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
1440,2,1,1,4545.0,10250.933562466129,0.0,21.59375327427793,-0.0,-0.0052382563824438805,19.6674448774316,23.054256384127903,CruiseStrategy,SUV
1680,1,0,0,1545.0,42872.18159709432,0.0,24.37218983553678,-0.0,-0.0007667178167936,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
1680,2,1,1,4545.0,15298.248663318449,0.0,20.70418540097488,-0.0,-0.0028192332407831083,19.6674448774316,23.054256384127903,CruiseStrategy,SUV
1920,1,0,0,1545.0,48698.07863696121,0.0,24.209731910376753,-0.0,-0.0006172557499773269,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
1920,2,1,1,4545.0,20194.49612955382,0.0,20.225419350738395,-0.0,-0.0015173132977176448,19.6674448774316,23.054256384127903,CruiseStrategy,SUV
2160,1,0,0,1545.0,54489.55287241529,0.0,24.07894312963109,-0.0,-0.000496929447229268,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
2160,2,1,1,4545.0,25009.438889409037,0.0,19.967747128372793,-0.0,-0.0008166190757566701,19.6674448774316,23.054256384127903,CruiseStrategy,SUV
2160,3,2,2,7545.0,4137.954832600622,0.0,25.049904813647757,-0.0,-0.0030636951778402095,20.717794908283704,22.361863273982994,CruiseStrategy,SUV
2400,1,0,0,1545.0,60253.31459944872,0.0,23.973649988948118,-0.0,-0.00040005925506996577,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
2400,2,1,1,4545.0,29780.623399548324,0.0,19.829067758467524,-0.0,-0.0004395049564864394,19.6674448774316,23.054256384127903,CruiseStrategy,SUV
2400,3,2,2,7545.0,10054.289483251026,0.0,24.38225694749658,-0.0,-0.002591530437631298,20.717794908283704,22.361863273982994,CruiseStrategy,SUV
2640,1,0,0,1545.0,65994.76602562013,0.0,23.888882431580623,-0.0,-0.00032207269756202644,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
2640,2,1,1,4545.0,34528.257189151846,0.0,19.7544304248009,-0.0,-0.00023654187430921842,19.6674448774316,23.054256384127903,CruiseStrategy,SUV
2640,3,2,2,7545.0,15825.128695451687,0.0,23.817504363993766,-0.0,-0.0021921338838624335,20.717794908283704,22.361863273982994,CruiseStrategy,SUV
2880,1,0,1,1728.673469387755,71717.84801268758,1.5306122448979593,23.81559589160298,-1.9220587945667167e-05,-0.0002992137777303101,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
2880,2,1,1,4545.0,39263.21596452709,0.0,19.71426055973252,-0.0,-0.00012730700183456387,19.6674448774316,23.054256384127903,CruiseStrategy,SUV
2880,3,2,2,7545.0,21472.895658165427,0.0,23.339789243878517,-0.0,-0.0018542907677249042,20.717794908283704,22.361863273982994,CruiseStrategy,SUV
3120,1,0,1,2096.020408163265,77424.42733870458,1.5306122448979593,23.75204920001205,-1.5523567184861246e-05,-0.00024099276978683962,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
3120,2,1,1,4545.0,43991.35303839886,0.0,19.692641110318377,-0.0,-6.851671723426084e-05,19.6674448774316,23.054256384127903,CruiseStrategy,SUV
3120,3,2,2,7545.0,27016.557786011774,0.0,22.93569771308592,-0.0,-0.0015685147137142635,20.717794908283704,22.361863273982994,CruiseStrategy,SUV
3120,4,1,1,4545.0,2126.1598803118045,0.0,16.95373780717084,0.0,0.0017268034476450671,20.37123770764491,23.711058171280513,CruiseStrategy,SUV
3360,1,0,1,2463.3673469387763,83117.53843711433,1.5306122448979587,23.70086677011477,-1.253103005798784e-05,-0.00019410126175096586,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
3360,2,1,1,4545.0,48717.58690487529,0.0,19.692641110318377,0.0,0.0,19.6674448774316,23.054256384127903,AccelerateStrategy,SUV
3360,3,2,2,7545.0,32472.159309717463,0.0,22.593883191454463,-0.0,-0.0013267813494841965,20.717794908283704,22.361863273982994,CruiseStrategy,SUV
3360,4,1,1,4545.0,6253.07754987368,0.0,17.368170634605654,0.0,0.0017268034476450671,20.37123770764491,23.711058171280513,CruiseStrategy,SUV
3600,1,0,1,2830.714285714287,88799.80180435676,1.530612244897958,23.659642807795766,-1.0111049913875847e-05,-0.00015633429722617425,23.538805229310036,24.945768193961168,CruiseStrategy,SUV
3600,2,1,1,4545.0,53443.82077135171,0.0,19.692641110318377,0.0,0.0,19.6674448774316,23.054256384127903,AccelerateStrategy,SUV
