timestamp_ms,agent_id,current_lane,lane_intent,x_mm,y_mm,vx_mm_per_ms,vy_mm_per_ms,ax_mm_per_ms2,ay_mm_per_ms2,desired_speed,max_speed,drive_strategy,vehicle_type
240,1,0,0,1560.0,681.5265741924994,0.0,2.601956914613928,0.0,0.0017892952214518033,21.725260614654953,25.005675938429995,AccelerateStrategy,SUV
240,2,1,1,4560.0,4205.687023693048,0.0,25.66054389808155,0.0,0.0,17.022531728327174,22.01134435693956,AccelerateStrategy,SUV
240,3,3,3,10560.0,2104.4518990803713,0.0,25.05564873850464,0.0,0.0,20.579142121227488,24.63099651924348,AccelerateStrategy,SUV
240,4,2,2,7560.0,100.0,0.0,27.21785676773783,0.0,0.0,20.154366405182014,26.289130722404657,CruiseStrategy,SUV
480,1,0,0,1560.0,1366.1165531406227,0.0,3.031387767762361,0.0,0.0017892952214518033,21.725260614654953,25.005675938429995,AccelerateStrategy,SUV
480,2,1,1,4560.0,10364.21755923262,0.0,25.66054389808155,0.0,0.0,17.022531728327174,22.01134435693956,AccelerateStrategy,SUV
480,3,3,3,10560.0,8117.807596321486,0.0,25.05564873850464,0.0,0.0,20.579142121227488,24.63099651924348,AccelerateStrategy,SUV
480,4,2,2,7560.0,6632.28562425708,0.0,27.21785676773783,0.0,0.0,20.154366405182014,26.289130722404657,AccelerateStrategy,SUV
480,5,1,1,4560.0,1844.9169850695453,0.0,21.811462313369315,0.0,0.0,21.041042866069084,23.884905403276395,AccelerateStrategy,SUV
480,6,3,3,10560.0,100.0,0.0,21.297301427728943,0.0,0.0,21.995857752456956,25.952456930069637,AccelerateStrategy,SUV
720,1,0,0,1560.0,2153.76993684437,0.0,3.4608186209107936,0.0,0.0017892952214518033,21.725260614654953,25.005675938429995,AccelerateStrategy,SUV
720,2,1,1,4560.0,16522.748094772192,0.0,25.66054389808155,0.0,0.0,17.022531728327174,22.01134435693956,AccelerateStrategy,SUV
720,3,3,3,10560.0,14131.163293562597,0.0,25.05564873850464,0.0,0.0,20.579142121227488,24.63099651924348,AccelerateStrategy,SUV
720,4,2,2,7560.0,13164.571248514161,0.0,27.21785676773783,0.0,0.0,20.154366405182014,26.289130722404657,AccelerateStrategy,SUV
720,5,1,1,4560.0,7079.667940278181,0.0,21.811462313369315,0.0,0.0,21.041042866069084,23.884905403276395,AccelerateStrategy,SUV
720,6,3,3,10560.0,5271.08566101652,0.0,21.72396798745447,0.0,0.001777777332189679,21.995857752456956,25.952456930069637,AccelerateStrategy,SUV
720,7,2,2,7560.0,3801.628520412344,0.0,23.135178252577152,0.0,0.0,22.37697370730357,24.83106294602229,AccelerateStrategy,SUV
960,1,0,0,1560.0,3044.4867253037405,0.0,3.8902494740592264,0.0,0.0017892952214518033,21.725260614654953,25.005675938429995,AccelerateStrategy,SUV
960,2,1,1,4560.0,22681.278630311775,0.0,25.66054389808155,0.0,0.0,17.022531728327174,22.01134435693956,AccelerateStrategy,SUV
960,3,3,3,10560.0,20144.518990803706,0.0,25.05564873850464,0.0,0.0,20.579142121227488,24.63099651924348,AccelerateStrategy,SUV
960,4,2,2,7560.0,19696.856872771237,0.0,27.21785676773783,0.0,0.0,20.154366405182014,26.289130722404657,AccelerateStrategy,SUV
960,5,1,0,4560.0,12298.84651709566,0.0,21.422152853590394,-0.0,-0.009732736494473038,21.041042866069084,23.884905403276395,BrakeStrategy,SUV
960,6,3,3,10560.0,10518.970016488276,0.0,21.929067821103853,0.0,0.00044016520917206174,21.995857752456956,25.952456930069637,AccelerateStrategy,SUV
960,7,2,2,7560.0,9354.071301030861,0.0,23.135178252577152,0.0,0.0,22.37697370730357,24.83106294602229,AccelerateStrategy,SUV
960,8,1,1,4560.0,3101.7812648517847,0.0,18.893966868699493,0.0,0.002213899389597385,22.058619267714647,25.264504832324015,AccelerateStrategy,SUV
960,9,3,3,10560.0,1598.5148121364039,0.0,18.773303101700858,0.0,0.0020933974997904906,19.953628287110853,23.924301996910337,AccelerateStrategy,SUV
960,10,2,2,7560.0,100.0,0.0,19.66490151469058,0.0,0.0,24.33799752000173,26.27985124210299,AccelerateStrategy,SUV
1200,1,0,0,1560.0,4038.266918518736,0.0,4.31968032720766,0.0,0.0017892952214518033,21.725260614654953,25.005675938429995,AccelerateStrategy,SUV
1200,2,1,1,4560.0,28839.80916585136,0.0,25.66054389808155,0.0,0.0,17.022531728327174,22.01134435693956,AccelerateStrategy,SUV
1200,3,3,3,10560.0,26157.874688044816,0.0,25.05564873850464,0.0,0.0,20.579142121227488,24.63099651924348,AccelerateStrategy,SUV
1200,4,2,2,7560.0,26229.142497028308,0.0,27.21785676773783,0.0,0.0,20.154366405182014,26.289130722404657,AccelerateStrategy,SUV
1200,5,1,1,4560.0,17113.14325574306,0.0,19.086296094916865,-0.0,-0.009732736494473038,21.041042866069084,23.884905403276395,BrakeStrategy,SUV
