timestamp_ms,agent_id,current_lane,lane_intent,x_mm,y_mm,vx_mm_per_ms,vy_mm_per_ms,ax_mm_per_ms2,ay_mm_per_ms2,desired_speed,max_speed,drive_strategy,vehicle_type
240,1,0,0,1919.5,679.2138215238961,0.0,2.652814288508292,0.0,0.002394233654920587,20.781982113273518,23.286965379554662,AccelerateStrategy,SUV
240,2,0,0,1919.5,48205.09110751524,0.0,2.874698725242137,0.0,0.0023806495171370136,23.03342841129254,26.505542797555734,AccelerateStrategy,SUV
240,3,1,1,5576.5,157028.6632848051,0.0,2.523499517971221,0.0,0.002272715074601001,19.7804790006698,26.158158993970716,AccelerateStrategy,SUV
240,4,2,2,9233.5,170036.68935312625,0.0,2.6474651848368587,0.0,0.0022151305000979032,21.15833864813361,24.47617769970733,AccelerateStrategy,SUV
240,5,3,3,12890.5,127334.99317944142,0.0,2.7419521137639435,0.0,0.0022031732435238123,22.13190535318228,23.843826104788434,AccelerateStrategy,SUV
240,6,4,4,16547.5,92530.49065590564,0.0,2.398491480752208,0.0,0.0019152003157502692,19.388434049721443,22.40311910556077,AccelerateStrategy,SUV
240,7,0,0,1919.5,184299.60037650255,0.0,2.547248079623511,0.0,0.0018553526951127764,21.019634327964443,24.43550818715403,AccelerateStrategy,SUV
240,8,1,1,5576.5,108669.194976071,0.0,2.6579093366374162,0.0,0.0024658347179712394,20.661090043243192,22.472978775913973,AccelerateStrategy,SUV
240,9,2,2,9233.5,180795.40975913085,0.0,2.4773245486083924,0.0,0.0019184368392436142,20.168997071899263,22.318173366389047,AccelerateStrategy,SUV
240,10,3,3,12890.5,63672.53068372041,0.0,2.791481745472037,0.0,0.002251502823242011,22.51121067893954,25.778047129610904,AccelerateStrategy,SUV
240,11,4,3,16547.5,24256.24849865575,0.0,2.3598986300738374,0.0,0.0017983514558989769,19.28294280658084,23.809805537205005,AccelerateStrategy,SUV
240,12,0,0,1919.5,163195.6314882641,0.0,2.8826585151062076,0.0,0.0018740457388163282,24.32887537790288,26.62089940856477,AccelerateStrategy,SUV
240,13,1,1,5576.5,56566.02665151387,0.0,2.5034508386428955,0.0,0.0019433531048454033,20.37046093479999,24.985507643462384,AccelerateStrategy,SUV
240,14,2,2,9233.5,98732.32896397493,0.0,2.7450436114416483,0.0,0.0021028051149829387,22.403703838457425,23.93617914364558,AccelerateStrategy,SUV
240,15,3,3,12890.5,192633.84897263232,0.0,2.735180297901677,0.0,0.0022177858418882075,22.029116958485066,24.22707776753276,AccelerateStrategy,SUV
240,16,4,4,16547.5,123136.15048163362,0.0,2.6111016761939383,0.0,0.0019217954943710116,21.498707575448947,22.689118907720093,AccelerateStrategy,SUV
240,17,0,0,1919.5,55606.391671962185,0.0,3.0508321183505114,0.0,0.002295063036229032,25.000169896555445,26.60277384591579,AccelerateStrategy,SUV
240,18,1,1,5576.5,175385.3531911485,0.0,2.836461253069733,0.0,0.0022149920084566345,23.048631710401423,26.033238841298854,AccelerateStrategy,SUV
240,19,2,2,9233.5,8082.826364998477,0.0,2.628386585553765,0.0,0.0022037193781776756,20.994939347911238,24.38102643383989,AccelerateStrategy,SUV
240,20,3,3,12890.5,45549.64607408016,0.0,2.7285188571553265,0.0,0.001758891819003145,23.063848205945707,25.04832500941604,AccelerateStrategy,SUV
240,21,4,4,16547.5,66282.51900838735,0.0,2.722186903003496,0.0,0.002121466856343033,22.130348574811677,26.603368634994972,AccelerateStrategy,SUV
240,22,0,0,1919.5,142023.0129891289,0.0,2.6209374258839317,0.0,0.002220873206354112,20.87927856358945,26.760703953544688,AccelerateStrategy,SUV
240,23,1,2,5576.5,197167.86338672033,0.0,2.3870692152256803,0.0,0.0021217769181154944,18.77842754877962,24.4650427722745,AccelerateStrategy,SUV
240,24,2,2,9233.5,143290.11909720208,0.0,2.5151673419853426,0.0,0.0021861911004736373,19.904814778716705,24.10209128014749,AccelerateStrategy,SUV
240,25,3,3,12890.5,178429.86037003872,0.0,2.587673563059572,0.0,0.002298755455965989,20.35972253627736,22.141067671902118,AccelerateStrategy,SUV
240,26,4,4,16547.5,183247.5924024873,0.0,2.6268111129382086,0.0,0.0017339936684146362,22.106526325186962,25.366513227063134,AccelerateStrategy,SUV
240,27,0,0,1919.5,85685.85918107662,0.0,2.521946381774061,0.0,0.0022083791426166593,19.919353875460633,22.11797636082023,AccelerateStrategy,SUV
240,28,1,1,5576.5,121842.48731962197,0.0,2.445231504019988,0.0,0.00246056303311561,18.54696376072241,22.323452694561116,AccelerateStrategy,SUV
240,29,2,2,9233.5,45390.05449954588,0.0,2.295699929282787,0.0,0.0018799117016182155,18.445211208944148,22.23885894036559,AccelerateStrategy,SUV
240,30,3,3,12890.5,71095.00760113847,0.0,2.205646328949149,0.0,0.0018028340793597433,17.729661499028108,23.292143420338622,AccelerateStrategy,SUV
240,31,4,4,16547.5,33615.646153601825,0.0,2.7175259981718902,0.0,0.0024693557733081644,21.2488061257793,23.47428800026769,AccelerateStrategy,SUV
240,32,0,0,1919.5,78437.3724958161,0.0,2.383364811497924,0.0,0.002145116817202142,18.685367753694095,23.216996011725186,AccelerateStrategy,SUV
240,33,1,1,5576.5,76653.33111625818,0.0,2.587239658454878,0.0,0.0020859630489545294,20.866085267057905,22.556707281799333,AccelerateStrategy,SUV
240,34,2,2,9233.5,113983.00102011331,0.0,2.4339235880519516,0.0,0.001960721174915246,19.63350506072292,24.41688568842764,AccelerateStrategy,SUV
