timestamp_ms,agent_id,current_lane,lane_intent,x_mm,y_mm,vx_mm_per_ms,vy_mm_per_ms,ax_mm_per_ms2,ay_mm_per_ms2,desired_speed,max_speed,drive_strategy,vehicle_type
40,1,0,0,1545.0,1239.3035015651913,0.0,28.48258753912978,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
80,1,0,0,1545.0,2382.6890342656307,0.0,28.58463831751098,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
120,1,0,0,1545.0,3530.1565981013177,0.0,28.686689095892177,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
160,1,0,0,1545.0,4681.706193072253,0.0,28.788739874273375,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
200,1,0,0,1545.0,5837.337819178436,0.0,28.890790652654573,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
240,1,0,0,1545.0,6997.051476419867,0.0,28.99284143103577,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
280,1,0,0,1545.0,8160.847164796545,0.0,29.09489220941697,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
320,1,0,0,1545.0,9328.724884308473,0.0,29.196942987798167,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
360,1,0,0,1545.0,10500.684634955647,0.0,29.298993766179365,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
400,1,0,0,1545.0,11676.726416738069,0.0,29.401044544560563,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
440,1,0,0,1545.0,12856.85022965574,0.0,29.50309532294176,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
480,1,0,0,1545.0,14041.056073708658,0.0,29.60514610132296,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
520,1,0,0,1545.0,15229.343948896825,0.0,29.707196879704156,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
520,2,2,2,7545.0,100.0,0.0,29.510548960046744,0.0,0.0,30.577245710268166,39.890668670111346,CruiseStrategy,SUV
560,1,0,0,1545.0,16421.713855220238,0.0,29.809247658085354,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
560,2,2,2,7545.0,1282.8255836988344,0.0,29.570639592470858,0.0,0.0015022658106028687,30.577245710268166,39.890668670111346,CruiseStrategy,SUV
600,1,0,0,1545.0,17618.1657926789,0.0,29.911298436466552,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
600,2,2,2,7545.0,2467.9193883595444,0.0,29.627345116517752,0.0,0.001417638101172319,30.577245710268166,39.890668670111346,CruiseStrategy,SUV
640,1,0,0,1545.0,18818.699761272812,0.0,30.01334921484775,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
640,2,2,2,7545.0,3655.153637430783,0.0,29.68085622678096,0.0,0.001337777756580208,30.577245710268166,39.890668670111346,CruiseStrategy,SUV
680,1,0,0,1545.0,20023.31576100197,0.0,30.115399993228948,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
680,2,2,2,7545.0,4844.407752446111,0.0,29.73135287538319,0.0,0.0012624162150557477,30.577245710268166,39.890668670111346,CruiseStrategy,SUV
720,1,0,0,1545.0,21232.013791866375,0.0,30.217450771610146,0.0,0.0025512694595299255,31.477116717536035,38.42261579978737,CruiseStrategy,SUV
720,2,2,2,7545.0,6035.567947531551,0.0,29.779004877136,0.0,0.0011913000438201914,30.577245710268166,39.890668670111346,CruiseStrategy,SUV
