timestamp_ms,agent1_id,agent2_id
3840,15,18
3840,14,17
4080,16,19
4080,15,18
4080,14,17
4320,16,19
4320,15,18
4320,17,20
4320,14,17
4560,17,20
4560,14,17
4560,16,19
4560,18,21
4560,15,18
4800,17,20
4800,14,17
4800,20,23
4800,18,21
4800,15,18
5040,17,20
5040,14,17
5040,20,23
5040,19,22
5040,18,21
5040,15,18
5280,17,20
5280,14,17
5280,20,23
5280,19,22
5280,21,24
5280,18,21
5280,22,25
5280,15,18
5520,17,20
5520,14,17
5520,20,23
5520,19,22
5520,21,24
5520,18,21
5520,22,25
5520,15,18
5760,17,20
5760,14,17
5760,20,23
5760,19,22
5760,21,24
5760,18,21
5760,22,25
5760,15,18
6000,17,20
6000,14,17
6000,20,23
6000,19,22
6000,25,27
6000,21,24
6000,18,21
6000,22,25
6000,15,18
6240,17,20
6240,14,17
6240,20,23
6240,19,22
6240,25,27
6240,21,24
6240,18,21
6240,22,25
6240,15,18
6480,17,20
6480,14,17
6480,20,23
6480,19,22
6480,25,27
6480,21,24
6480,18,21
6480,22,25
6480,15,18
6720,17,20
6720,14,17
6720,20,23
6720,19,22
6720,25,27
6720,21,24
6720,18,21
6720,22,25
6720,15,18
6960,17,20
6960,14,17
6960,20,23
6960,19,22
6960,25,27
6960,21,24
6960,18,21
6960,22,25
7200,17,20
7200,14,17
7200,20,23
7200,19,22
7200,25,27
7200,21,24
7200,18,21
7200,22,25
7440,17,20
7440,14,17
7440,20,23
7440,19,22
7440,25,27
7440,21,24
7440,18,21
7440,22,25
7680,17,20
7680,14,17
7680,20,23
7680,19,22
7680,25,27
7680,21,24
7680,18,21
7680,22,25
7920,17,20
7920,14,17
7920,20,23
7920,19,22
7920,25,27
7920,21,24
7920,18,21
7920,22,25
8160,17,20
8160,14,17
8160,20,23
8160,19,22
8160,25,27
8160,21,24
8160,18,21
8160,22,25
8400,17,20
8400,14,17
8400,20,23
8400,25,27
8400,21,24
8400,18,21
8400,22,25
8640,17,20
8640,14,17
8640,20,23
8640,25,27
8640,21,24
8640,18,21
8640,22,25
8880,17,20
8880,20,23
8880,25,27
8880,21,24
8880,18,21
8880,22,25
9120,17,20
9120,20,23
9120,25,27
9120,21,24
9120,18,21
9120,22,25
9360,17,20
9360,20,23
9360,25,27
9360,21,24
9360,18,21
9360,22,25
9600,17,20
9600,20,23
9600,25,27
9600,21,24
9600,18,21
9600,22,25
9840,17,20
9840,20,23
9840,25,27
9840,21,24
9840,18,21
9840,22,25
10080,17,20
10080,20,23
10080,25,27
10080,22,25
10080,21,24
10320,17,20
10320,20,23
10320,25,27
10320,22,25
10320,21,24
10560,17,20
10560,20,23
10560,25,27
10560,22,25
10560,21,24
10800,17,20
10800,20,23
10800,25,27
10800,22,25
10800,21,24
11040,17,20
11040,20,23
11040,25,27
11040,22,25
11040,21,24
11280,17,20
11280,20,23
11280,25,27
11280,22,25
11280,21,24
11520,17,20
11520,20,23
11520,25,27
11520,22,25
11520,21,24
11760,20,23
11760,17,20
11760,25,27
11760,21,24
12000,20,23
12000,17,20
12000,25,27
12000,21,24
12240,20,23
12240,25,27
12240,21,24
12480,20,23
12480,25,27
12480,21,24
12720,20,23
12720,25,27
12960,20,23
12960,25,27
13200,20,23
13200,25,27
13440,20,23
13440,25,27
13680,20,23
13680,25,27
13920,20,23
13920,25,27
14160,20,23
14160,25,27
14400,20,23
14400,25,27
14640,20,23
14640,25,27
14880,20,23
14880,25,27
15120,20,23
15120,25,27
15360,20,23
