timestamp_ms,agent_id,current_lane,lane_intent,x_mm,y_mm,speed,acceleration,desired_speed,max_speed,drive_strategy,vehicle_type
40,1,0,0,1883.0,1137.6909232520898,25.942273081302243,-0.0018024423632835348,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
80,1,0,0,1883.0,2172.5666647511207,25.871893537475767,-0.001759488595593898,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
120,1,0,0,1883.0,3204.6943127244263,25.80319119933264,-0.001717558453511563,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
160,1,0,0,1883.0,4234.13935662859,25.73612609760408,-0.0016766275431488605,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
200,1,0,0,1883.0,5260.965725249538,25.670659215523706,-0.0016366720519456644,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
240,1,0,0,1883.0,6285.235823894681,25.606752466128576,-0.0015976687348158438,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
280,1,0,0,1883.0,7307.010570698728,25.54436867010118,-0.001559594900623869,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
320,1,0,0,1883.0,8326.349432064306,25.48347153413944,-0.0015224283989836885,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
360,1,0,0,1883.0,9343.310457257994,25.424025629842212,-0.0014861476073721959,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
400,1,0,0,1883.0,10357.95031218191,25.365996373097932,-0.0014507314185497992,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
440,1,0,0,1883.0,11370.32431234049,25.309350003964465,-0.001416159228280767,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
480,1,0,0,1883.0,12380.486455021626,25.254053567028425,-0.0013824109233462082,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
520,1,0,0,1883.0,13388.48945071093,25.200074892232575,-0.0013494668698427117,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
520,2,1,1,5540.0,100.0,26.530101262630506,0.0,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
560,1,0,0,1883.0,14394.384753757333,25.147382576160087,-0.0013173079017598506,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
560,2,1,1,5540.0,1142.8158128179623,26.07039532044906,-0.01149264855409535,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
600,1,0,0,1883.0,15398.222592307926,25.09594596376484,-0.001285915309829876,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
600,2,1,1,5540.0,2168.719097790744,25.64758212431954,-0.010570329902825805,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
640,1,0,0,1883.0,16400.051997529412,25.04573513053711,-0.0012552708306431451,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
640,2,1,1,5540.0,3179.0671347305824,25.258700923495958,-0.009722030020204683,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
680,1,0,0,1883.0,17399.920832133183,24.996720865094233,-0.0012253566360229417,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
680,2,1,1,5540.0,4175.108277776062,24.90102857613699,-0.008941808683615094,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
720,1,0,0,1883.0,18397.87581822063,24.948874652186174,-0.0011961553226534874,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
720,2,1,1,5540.0,5157.990696995927,24.57206048049662,-0.008224202390674519,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
760,1,0,0,1883.0,19393.962564464873,24.90216865610609,-0.0011676499019551412,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
760,2,1,1,5540.0,6128.770418453625,24.269493036442473,-0.007564186101042058,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
800,1,0,0,1883.0,20388.22559264472,24.856575704496223,-0.0011398237902008788,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
800,2,1,1,5540.0,7088.418719033168,23.991207514488572,-0.00695713804855754,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
840,1,0,0,1883.0,21380.70836354631,24.8120692725397,-0.0011126607988683002,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
840,2,1,1,5540.0,8037.828927808584,23.735255219385415,-0.0063988073773092995,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
880,1,0,0,1883.0,22371.45330224747,24.768623467529082,-0.00108614512522156,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
880,2,1,1,5540.0,8977.822681583597,23.49984384437531,-0.005885284375002204,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
920,1,0,0,1883.0,23360.50182279958,24.726213013802656,-0.0010602613431177378,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
920,2,1,1,5540.0,9909.155678405941,23.283324920558613,-0.005412973095184919,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
960,1,0,0,1883.0,24347.894352321167,24.684813238039688,-0.0010349943940323048,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
960,2,1,1,5540.0,10832.522969345344,23.084182273485048,-0.0049785661766234635,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
1000,1,0,0,1883.0,25333.670354517413,24.64440005490611,-0.0010103295782984574,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
1000,2,1,1,5540.0,11748.563825590836,22.901021406137303,-0.004579021683493704,20.801887022913352,24.39095678390232,CruiseStrategy,Motorcycle
1040,1,0,0,1883.0,26317.868352639103,24.604949953042297,-0.0009862525465552231,22.988979851740837,25.36692375152761,CruiseStrategy,SUV
