timestamp_ms,agent1_id,agent2_id
1440,41,51
1680,4,79
1920,4,79
2160,4,79
2160,25,75
2400,4,79
2400,25,75
2640,4,79
2880,22,52
2880,89,94
2880,4,79
3120,22,52
3120,89,94
3120,4,79
3120,26,71
3360,22,52
3360,89,94
3360,4,79
3360,26,71
3600,22,52
3600,89,94
3600,4,79
3600,26,71
3840,100,104
3840,89,94
3840,26,71
3840,22,52
3840,90,96
3840,4,79
4080,100,104
4080,89,94
4080,26,71
4080,22,52
4080,90,96
4320,100,104
4320,89,94
4320,97,101
4320,26,71
4320,22,52
4320,90,96
4320,102,106
4560,100,104
4560,89,94
4560,97,101
4560,26,71
4560,22,52
4560,90,96
4560,102,106
4800,100,104
4800,89,94
4800,97,101
4800,26,71
4800,22,52
4800,102,106
5040,100,104
5040,89,94
5040,97,101
5040,26,71
5040,22,52
5040,102,106
5280,100,104
5280,89,94
5280,97,101
5280,107,110
5280,26,71
5280,22,52
5280,102,106
5520,100,104
5520,89,94
5520,97,101
5520,107,110
5520,26,71
5520,22,52
5520,102,106
5760,100,104
5760,89,94
5760,97,101
5760,107,110
5760,26,71
5760,22,52
5760,102,106
6000,100,104
6000,89,94
6000,97,101
6000,107,110
6000,26,71
6000,22,52
6000,102,106
6240,100,104
6240,89,94
6240,97,101
6240,107,110
6240,26,71
6240,22,52
6240,102,106
6480,100,104
6480,89,94
6480,97,101
6480,107,110
6480,26,71
6480,22,52
6480,102,106
6720,100,104
6720,89,94
6720,97,101
6720,107,110
6720,26,71
6720,22,52
6720,102,106
6960,100,104
6960,89,94
6960,97,101
6960,107,110
6960,26,71
6960,22,52
6960,102,106
7200,100,104
7200,89,94
7200,97,101
7200,107,110
7200,26,71
7200,22,52
7200,102,106
7440,100,104
7440,89,94
7440,97,101
7440,107,110
7440,26,71
7440,22,52
7440,102,106
7680,100,104
7680,89,94
7680,97,101
7680,107,110
7680,26,71
7680,22,52
7680,102,106
7920,100,104
7920,89,94
7920,97,101
