timestamp_ms,agent1_id,agent2_id
7920,107,110
7920,26,71
7920,22,52
7920,102,106
8160,100,104
8160,89,94
8160,97,101
8160,107,110
8160,26,71
8160,102,106
8400,100,104
8400,89,94
8400,97,101
8400,107,110
8400,26,71
8400,102,106
8640,100,104
8640,89,94
8640,97,101
8640,107,110
8640,26,71
8640,102,106
8880,100,104
8880,89,94
8880,107,110
8880,26,71
8880,102,106
9120,100,104
9120,89,94
9120,107,110
9120,26,71
9120,102,106
9360,100,104
9360,89,94
9360,107,110
9360,26,71
9360,102,106
9600,100,104
9600,89,94
9600,107,110
9600,26,71
9600,102,106
9840,102,106
9840,100,104
9840,89,94
9840,107,110
10080,102,106
10080,100,104
10080,89,94
10080,107,110
10320,102,106
10320,100,104
10320,89,94
10320,107,110
10560,102,106
10560,100,104
10560,89,94
10560,107,110
10800,102,106
10800,100,104
10800,89,94
10800,107,110
11040,102,106
11040,100,104
11040,89,94
11040,107,110
11280,102,106
11280,100,104
11280,89,94
11280,107,110
11520,102,106
11520,100,104
11520,89,94
11520,107,110
11760,102,106
11760,100,104
11760,89,94
11760,107,110
12000,102,106
12000,100,104
12000,89,94
12000,107,110
12240,102,106
12240,100,104
12240,89,94
12240,107,110
12480,102,106
12480,100,104
12480,89,94
12480,107,110
12720,100,104
12720,89,94
12720,10,79
12720,107,110
12720,102,106
12960,102,106
12960,100,104
12960,89,94
12960,107,110
13200,102,106
13200,100,104
13200,89,94
13200,107,110
13440,102,106
13440,100,104
13440,89,94
13440,107,110
13680,102,106
13680,100,104
13680,89,94
13680,107,110
13920,102,106
13920,100,104
13920,89,94
13920,107,110
14160,102,106
14160,100,104
14160,89,94
14160,107,110
14400,102,106
14400,100,104
14400,89,94
14400,107,110
14640,102,106
14640,100,104
14640,89,94
14640,107,110
14880,102,106
14880,100,104
14880,89,94
14880,107,110
15120,102,106
15120,100,104
15120,89,94
15120,107,110
15360,102,106
15360,100,104
15360,89,94
15360,107,110
15600,102,106
15600,100,104
15600,89,94
15600,107,110
15840,102,106
15840,100,104
15840,89,94
15840,107,110
16080,102,106
16080,100,104
16080,89,94
16080,107,110
16320,102,106
16320,100,104
16320,89,94
16320,107,110
16560,102,106
16560,100,104
16560,89,94
16560,107,110
16800,102,106
16800,100,104
16800,89,94
16800,107,110
17040,102,106
17040,100,104
17040,89,94
17040,107,110
17280,102,106
17280,100,104
17280,89,94
17280,107,110
17520,102,106
17520,100,104
17520,89,94
17520,107,110
17760,102,106
17760,100,104
17760,89,94
17760,107,110
18000,102,106
18000,100,104
18000,89,94
18000,107,110
18240,102,106
18240,100,104
18240,89,94
18240,107,110
18480,102,106
18480,100,104
18480,89,94
18480,107,110
18720,102,106
18720,100,104
18720,89,94
18720,107,110
18960,102,106
18960,100,104
18960,89,94
18960,107,110
19200,102,106
19200,100,104
19200,107,110
19440,102,106
19440,100,104
19440,107,110
19680,102,106
19680,100,104
19680,107,110
19920,102,106
19920,100,104
19920,107,110
20160,102,106
20160,100,104
20160,107,110
20400,102,106
20400,100,104
20400,107,110
20640,102,106
20640,100,104
20640,107,110
20880,102,106
20880,100,104
20880,107,110
21120,102,106
21120,100,104
21120,107,110
21360,102,106
21360,100,104
21360,107,110
21600,102,106
21600,100,104
21600,107,110
21840,102,106
21840,100,104
21840,107,110
22080,102,106
22080,100,104
22080,107,110
22320,102,106
22320,100,104
22320,107,110
22560,102,106
22560,107,110
22800,102,106
22800,107,110
23040,102,106
23040,107,110
23280,102,106
23280,107,110
23520,102,106
23520,107,110
23760,102,106
23760,107,110
24000,102,106
24000,107,110
24240,102,106
24240,107,110
24480,102,106
24480,107,110
24720,102,106
24720,107,110
24960,102,106
24960,107,110
25200,102,106
25200,107,110
25440,107,110
25680,107,110
25920,107,110
26160,107,110
26400,107,110
26640,107,110
26880,107,110
27120,107,110
27360,107,110
27600,107,110
27840,107,110
28080,107,110
28320,107,110
28560,107,110
28800,107,110
29040,107,110
29280,107,110
29520,107,110
29760,107,110
30000,107,110
30240,107,110
30480,107,110
30720,107,110
30960,107,110
31200,107,110
32640,88,102
32880,88,102
33120,88,102
33360,88,102
