timestamp_ms,agent_id,current_lane,lane_intent,x_mm,y_mm,vx_mm_per_ms,vy_mm_per_ms,ax_mm_per_ms2,ay_mm_per_ms2,desired_speed,max_speed,drive_strategy,vehicle_type
240,1,0,1,1789.8979591836733,6178.944196453665,1.530612244897959,24.845998373436753,-0.00027675400710183105,-0.004525260127430044,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
480,1,0,1,2157.2448979591836,12007.149286788714,1.5306122448979593,23.918887453793722,-0.00021760060688016922,-0.003419933310954875,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
720,1,0,1,2524.591836734695,17645.764571835745,1.5306122448979587,23.21810608963488,-0.00016963856287995475,-0.0025847584087444063,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
960,1,0,1,2891.9387755102052,23141.070358037992,1.530612244897958,22.6883825532965,-0.00013134450164182753,-0.0019536505932075104,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
1200,1,0,1,3259.2857142857156,28528.04602236498,1.530612244897958,22.287950325762473,-0.00010114339282400274,-0.0014767079577749434,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
1200,2,1,2,4789.897959183672,5448.248463549312,1.5306122448979596,26.24808455503232,-0.00035553237473014837,-0.006154210931354171,21.642583303161,23.777335822876896,BrakeStrategy,SUV
1440,1,0,1,3626.632653061225,33833.13089599502,1.530612244897958,21.985245551034243,-7.755504848936771e-05,-0.001116244793628887,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
1440,2,1,2,5157.244897959181,11545.320403909967,1.5306122448979607,24.843295685297424,-0.00031342520527639906,-0.00512928134488003,21.642583303161,23.777335822876896,BrakeStrategy,SUV
1680,1,0,1,3993.9795918367354,39076.31013952761,1.530612244897958,21.756412973629764,-5.9270841658910556e-05,-0.0008437972091283791,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
1680,2,1,2,5524.591836734689,17320.968093148345,1.5306122448979622,23.47627568132785,-0.00034000678831029525,-0.005261818945772657,21.642583303161,23.777335822876896,CruiseStrategy,SUV
1920,1,0,1,4361.326530612245,44272.690818705756,1.5306122448979635,21.583422186892314,-4.5181245243130437e-05,-0.0006378634177572415,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
1920,2,1,2,5891.9387755102,22820.082603211697,1.5306122448979635,22.588447464057786,-0.00018788542127106037,-0.002786485691841387,21.642583303161,23.777335822876896,CruiseStrategy,SUV
2160,1,1,1,4545.0,49434.27136250294,0.0,21.45976693343487,-0.0,-0.0004267611483458022,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
2160,2,1,2,6259.28571428571,28169.700576677173,1.5306122448979635,22.118169920319684,-0.00010186113726831544,-0.0014758863149044413,21.642583303161,23.777335822876896,CruiseStrategy,SUV
2160,3,2,2,7545.0,4257.10170474854,0.0,26.150644438340958,0.0,0.0028126463943763317,35.4146115036635,39.44621765281837,AccelerateStrategy,SUV
2400,1,1,1,4545.0,54571.92635247344,0.0,21.372524439271942,-0.0,-0.0003223912877039386,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
2400,2,1,2,6626.632653061222,33440.12774997465,1.5306122448979635,21.86904847831214,-5.463950841344351e-05,-0.0007817962444829694,21.642583303161,23.777335822876896,CruiseStrategy,SUV
2400,3,2,2,7545.0,10566.1169314512,0.0,26.206580935023663,-0.0,-0.0011038536747839498,35.4146115036635,39.44621765281837,BrakeStrategy,SUV
2640,1,1,1,4545.0,59691.74641811385,0.0,21.30661820543432,-0.0,-0.00024354640245551285,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
2640,2,1,2,6993.979591836733,38668.603962120884,1.5306122448979635,21.737075297564655,-2.9140148880479124e-05,-0.0004141516204183011,21.642583303161,23.777335822876896,CruiseStrategy,SUV
2640,3,2,2,7545.0,16855.2740086131,0.0,26.40670509409547,0.0,0.0028126463943763317,35.4146115036635,39.44621765281837,CruiseStrategy,SUV
2880,1,1,1,4545.0,64798.09331675401,0.0,21.25683017839159,-0.0,-0.00018398403558440388,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
2880,2,1,2,7361.326530612245,43874.856178677874,1.5306122448979635,21.66716036659352,-1.549265230285759e-05,-0.00021940114869185606,21.642583303161,23.777335822876896,CruiseStrategy,SUV
2880,3,2,2,7545.0,23287.38815004706,0.0,27.0817402287458,0.0,0.0028126463943763317,35.4146115036635,39.44621765281837,CruiseStrategy,SUV
3120,1,1,1,4545.0,69894.26208255455,0.0,21.21921844589728,-0.0,-0.00013898840224546298,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
3120,2,2,2,7545.0,49070.55602243579,0.0,21.644867346209104,-0.0,-6.395480342848819e-06,21.642583303161,23.777335822876896,CruiseStrategy,SUV
3120,3,2,2,7545.0,29881.510723797095,0.0,27.75677536339613,0.0,0.0028126463943763317,35.4146115036635,39.44621765281837,CruiseStrategy,SUV
3120,4,0,0,1545.0,2289.1039882010314,0.0,18.338198994005577,0.0,0.002391643974924603,32.74895687118968,39.14213486430722,CruiseStrategy,SUV
3360,1,1,1,4545.0,74982.7419072101,0.0,21.190805140425084,-0.0,-0.00010499702268942321,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
3360,2,2,2,7545.0,54265.16030462498,0.0,21.643791308915915,-0.0,-3.3825006345797434e-06,21.642583303161,23.777335822876896,CruiseStrategy,SUV
3360,3,2,2,7545.0,36637.641729863215,0.0,28.43181049804646,0.0,0.0028126463943763317,35.4146115036635,39.44621765281837,CruiseStrategy,SUV
3360,4,0,0,1545.0,6770.630984319835,0.0,18.912193547987474,0.0,0.002391643974924603,32.74895687118968,39.14213486430722,CruiseStrategy,SUV
3600,1,1,1,4545.0,80065.41321896232,0.0,21.16934066978474,-0.0,-7.931866684943445e-05,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
3600,2,2,1,7361.326530612246,59458.362193626905,-1.5306122448979596,21.62847483475422,7.899362105120176e-06,-0.00011164585969051003,21.642583303161,23.777335822876896,CruiseStrategy,SUV
3600,3,2,2,7545.0,43555.78116824541,0.0,29.10684563269679,0.0,0.0028126463943763317,35.4146115036635,39.44621765281837,CruiseStrategy,SUV
3600,4,0,0,1545.0,11389.916673394291,0.0,19.486188101969372,0.0,0.002391643974924603,32.74895687118968,39.14213486430722,CruiseStrategy,SUV
3840,1,1,1,4545.0,85143.69656343634,0.0,21.153125608136218,-0.0,-5.992027916240529e-05,21.103038403143145,22.357545419438363,CruiseStrategy,SUV
3840,2,2,1,6993.979591836737,64646.32617607225,-1.5306122448979604,21.60962668795931,4.188938268933536e-06,-5.914713402016096e-05,21.642583303161,23.777335822876896,CruiseStrategy,SUV
3840,3,2,2,7545.0,50635.92903894369,0.0,29.78188076734712,0.0,0.0028126463943763317,35.4146115036635,39.44621765281837,CruiseStrategy,SUV
3840,4,0,0,1545.0,16146.961055424403,0.0,20.06018265595127,0.0,0.002391643974924603,32.74895687118968,39.14213486430722,CruiseStrategy,SUV
